category ,round,question number,code ,question ,clue ,answer ,location bonus 
culture,t1,1,c_t1_1,What is the name of the eleven-day festival in Bangalore that worships water as the protector of life?,c_t1_1.png,Karaga,true    
culture,t1,2,c_t1_2,What is the earliest known written record of the name “Bengaluru” found on?,c_t1_2.png, 890 CE Begur inscription (hero stone/viragal).,false 
culture,t2,1,c_t2_1,In what year did the British army lay siege to the fort of Bangalore?,c_t2_1.png,The Siege of Bangalore occurred in 1791.,false 
culture,t2,2,c_t2_2,The historic precinct of Bangalore was divided into two parts. What were they? What did it translate into? ,c_t2_2.png,Pete (Market) and Kote (Market) ,true    
culture,t3,1,c_t3_1,The historic precinct of Bangalore was divided into two parts. What were they? What did it translate into? ,c_t3_1.png,Pete (Market) and Kote (Market) ,true    
culture,t3,2,c_t3_2,The historic precinct of Bangalore was divided into two parts. What were they? What did it translate into? ,c_t3_2.png,Pete (Market) and Kote (Market) ,true    
culture,t4,1,c_t4_1,The historic precinct of Bangalore was divided into two parts. What were they? What did it translate into? ,c_t4_1.png,Pete (Market) and Kote (Market) ,true    
culture,t4,2,c_t4_2,The historic precinct of Bangalore was divided into two parts. What were they? What did it translate into? ,c_t4_2.png,Pete (Market) and Kote (Market) ,true    
urban ,t1,1,u_t1_1,The historic precinct of Bangalore was divided into two parts. What were they? What did it translate into? ,u_t1_1.png,Pete (Market) and Kote (Market) ,false 
urban ,t1,2,u_t1_2,"How many Kempegowda towers were built to mark the original boundaries of Bengaluru, and what was their primary purpose?",u_t1_2.png,"Four towers were built, and they served as watchpoints and local theory - boundary markers to demarcate the extent of the city. ",true    
urban ,t2,1,u_t2_1,"How many Kempegowda towers were built to mark the original boundaries of Bengaluru, and what was their primary purpose?",u_t2_1.png,"Four towers were built, and they served as watchpoints and local theory - boundary markers to demarcate the extent of the city. ",true    
urban ,t2,2,u_t2_2,"How many Kempegowda towers were built to mark the original boundaries of Bengaluru, and what was their primary purpose?",u_t2_2.png,"Four towers were built, and they served as watchpoints and local theory - boundary markers to demarcate the extent of the city. ",false 
urban ,t3,1,u_t3_1,What major infrastructure  was established in the Cantonment area around 1854?,u_t3_1.png,The Cantonment Railway Station.,true    
urban ,t3,2,u_t3_2,"Which major mental health institution in Bengaluru, originally founded as the Bangalore Lunatic Asylum in 1847 and later renamed in 1974, today stands as India’s premier national centre for mental health and neuroscience?",u_t3_2.png,NIMHANS ,true    
urban ,t4,1,u_t4_1,Which planning body announced the creation of new post-independence layouts like Jayanagar and Rajajinagar?,u_t4_1.png,The City Improvement Trust Board (CITB).,true    
urban ,t4,2,u_t4_2,"Planned neighborhoods like Basavangudi, Malleswaram, and Frazer Town were developed in response to what event?",u_t4_2.png,The Bubonic  Plague of 1897.,true    
ecology ,t1,1,e_t1_1,"The Karaga festival, which worships water as the protector of life, is annually associated with which historic Bengaluru tank?",e_t1_1.png,The Sampangi Tank.,true    
ecology ,t1,2,e_t1_2,Which historical dynasties were primarily responsible for constructing the tank systems in the Bengaluru region over the past 2000 years?,e_t1_2.png,"The Gangas, the Cholas, and the Hoysalas.",false 
ecology ,t2,1,e_t2_1,Which historical dynasties were primarily responsible for constructing the tank systems in the Bengaluru region over the past 2000 years?,e_t2_1.png,"The Gangas, the Cholas, and the Hoysalas.",false 
ecology ,t2,2,e_t2_2,"In the 1850s, the water supply for the British Cantonment in Bangalore was chiefly dependent on which two tanks?",e_t2_2.png,The Ulsoor and Shoolay tanks.,true    
ecology ,t3,1,e_t3_1,"In the 1850s, the water supply for the British Cantonment in Bangalore was chiefly dependent on which two tanks?",e_t3_1.png,The Ulsoor and Shoolay tanks.,true    
ecology ,t3,2,e_t3_2,What major park served as a buffer zone between the Cantonment and the Maharaja’s city?,e_t3_2.png,Cubbon Park,true    
ecology ,t4,1,e_t4_1,Which ancient rock formation in Bengaluru—dating back nearly 3 billion years and older than most of Earth's continental crust—was declared a National Geological Monument in 1975?,e_t4_1.png,The Lalbagh Rock ,true    
ecology ,t4,2,e_t4_2,A 1958 Expert Committee on Water Supply first recommended using the _____ River as a source in addition to the Arkavathy.,e_t4_2.png,Cauvery.,true    
governance,t1,1,g_t1_1,"Who purchased Bangalore from the Mughals in the late 17th century, and what was the amount paid for it?",g_t1_1.png,Chikka Devaraja Wodeyar of Mysore bought Bangalore from the Mughal general Khasim Khan for 3 lakh rupees.,false 
governance,t1,2,g_t1_2,"Who purchased Bangalore from the Mughals in the late 17th century, and what was the amount paid for it?",g_t1_2.png,Chikka Devaraja Wodeyar of Mysore bought Bangalore from the Mughal general Khasim Khan for 3 lakh rupees.,true    
governance,t2,1,g_t2_1,"Who purchased Bangalore from the Mughals in the late 17th century, and what was the amount paid for it?",g_t2_1.png,Chikka Devaraja Wodeyar of Mysore bought Bangalore from the Mughal general Khasim Khan for 3 lakh rupees.,true    
governance,t2,2,g_t2_2,"Who purchased Bangalore from the Mughals in the late 17th century, and what was the amount paid for it?",g_t2_2.png,Chikka Devaraja Wodeyar of Mysore bought Bangalore from the Mughal general Khasim Khan for 3 lakh rupees.,false 
governance,t3,1,g_t3_1,"Completed in 1868 to house the government offices of the British administration, this slice of Victoriana later became the High Court. By what name, meaning ""18 offices,"" did this iconic structure (designed by Lt Col Richard H Sankey) still sometimes go by, reflecting its original function?",g_t3_1.png,Attara Kacheri,true    
governance,t3,2,g_t3_2,Which newly constructed reservoir in the 1870s was situated outside both administrative boundaries and supplied water to both the City and the C&M Station?,g_t3_2.png,Sankey Tank,true    
governance,t4,1,g_t4_1,In what year were the two administrative parts of Bangalore the City and the C&M Station unified into one Bangalore City Corporation?,g_t4_1.png,1949,true    
governance,t4,2,g_t4_2,"Which Chief Minister of the erstwhile Mysore State is universally credited with championing the idea and overseeing the construction of the Vidhana Soudha, intending it to be a powerful symbol of Indian democratic pride and self-governance?",g_t4_2.png,Kengal Hanumanthaiah,true    
