id,no,bucket,question,answer
rb1_1,1,rb1,Who is credited with the planning and construction of the Sankey Tank?,Richard Hieram Sankey or RH Sankey
rb1_2,2,rb1,"What is the average elevation of Bangalore, which contributes to its undulating terrain of ridges and valleys?",920 meters
rb1_3,3,rb1,"The Pete area was divided into smaller neighborhoods named after the commodities sold there, such as Bale Pete for bangles and Nagrathpete  for _________.",Jewellery 
rb1_4,4,rb1,"Named after Kempama, the consort of the Kempegowda family's deity, _________ Kere is one of the many tanks said to have been built by Kempegowda. ",Kempambudhi Kere
rb1_5,5,rb1,Who is the City Market (KR Market) named after?,Krishnarajendra Wodeyar 
rb2_1,1,rb2,"The Pete area was divided into smaller neighborhoods named after the commodities sold there, such as Akki Pete for rice and Ganigarapete for _________.",Oil
rb2_2,2,rb2,"After the Fourth Anglo-Mysore War, why did the British shift from Srirangapatna to Bangalore in 1804?","Bangalore was on a higher ground (~920m) compared to Srirangapatna (~300m), making it a more strategic location and for the saluburious climate which reminded the British of home."
rb2_3,3,rb2,"Which ancient Bengaluru temple is known for its unique astronomical alignments, where sunlight passes through stone structures to illuminate the garbagriha around Makara Sankranti?",Gavigangadhareshwara Temple 
rb2_4,4,rb2,Which iconic Bengaluru aerospace company was founded in 1940 and later played a critical role in building India’s fighter jets?,Hindustan Aeronautics Limited (HAL)
rb2_5,5,rb2,"Which Bengaluru cinema hall, opened in 1936 and demolished in 2023, was once famous for screening only English films?",Rex Theatre
rb3_1,1,rb3,"In 1926, which prominent engineer chaired a committee to find a 'permanent and reliable' source of water for Bengaluru, following the inadequacies of the Hesaraghatta supply?",Sir M. Visvesvaraya.
rb3_2,2,rb3,"KR Market is identified as being built over a former water body, called as?",Siddi Katte.
rb3_3,3,rb3,The Bengaluru locality of Chamarajpet was developed as one of the city’s earliest planned extensions. Who was it named after?,Maharaja Chamarajendra Wadiyar
rb3_4,4,rb3,"Which Bengaluru institute, founded in 1909, was funded by J.N. Tata and later nurtured by the Maharaja of Mysore — becoming India’s cradle of scientific research?",IISC 
rb3_5,5,rb3,"Which famous Indian Army regiment, known for its engineering work, has been permanently based in Bangalore since the mid-19th century?",Madras Sappers 
rb4_1,1,rb4,"The historic Pete area had a primary road that cuts through it, which is today known as what?",Avenue Road.
rb4_2,2,rb4,"Today referred to as a nala or rajakaluve, this ancient watercourse once flowed as a natural river connecting Sankey Tank to the Arkavathy through its tributaries. What is the name of the river?",Vrishabavathi 
rb4_3,3,rb4,"David Emmanuel Starkenburgh White, an Anglo-Indian civil servant, conceptualised a self-sufficient Eurasian settlement in the late 19th century and secured 3,900 acres from the Mysore Maharaja for this purpose. What is this settlement known as today?",Whitefield 
rb4_4,4,rb4,"Established in the 1950s, which Bengaluru-based company is known for making wrist-watches and machine tools.",HMT - Hindustan Machine Tools
rb4_5,5,rb4,"Which iconic Bengaluru restaurant, founded in 1924, is credited with inventing the rava idli during World War II due to a rice shortage?",Mavalli Tiffin Room (MTR)
rb5_1,1,rb5,Which year did the two distinct administrative boundaries of Bangalore merge into one under the Bangalore Municipal Corporation Act?,1949
rb5_2,2,rb5,With which traditional community of  Bangalore is the famous Karaga festival celebrations associated?,Tigala community / Vahnikula Kshatriyas
rb5_3,3,rb5,"Commemorating the longest-serving Dewan of Mysore (1883–1901), the iconic State Central Library in Cubbon Park honours a statesman often called the “Maker of Modern Bengaluru.”
Which influential Dewan is this landmark dedicated to?",Dewan Seshadri Iyer 
rb5_4,4,rb5,"Which temple, dating back to the Vijayanagar period, is considered a key landmark in the origins of Halasuru?",Someshwara Temple
rb5_5,5,rb5,"Which iconic tech park in Whitefield, opened in 1994 and often called Bangalore’s first major IT campus, played a key role in shaping the city’s tech identity?",ITPL
